"ID","Device Name","Path","Description","Notes","ACK","Severity","Rules","Incident Time","Ticket","Date Ignored","Ignore Until","Reason","Ignored By"
"47507","eFemto 2100","Maple Suites","The RF antennas may not be properly connected or may be faulty.","RU VSWR_FAIL/PATH[1]   10","Not Acknowledged","Major","Ignored","2024-02-15 14:25","","1/14/2022 4:55","Indefinitely","Will look at","Welker, Daren "
"47274","SDR-33-AF","Nouveau Marc","Signal Not Det","","Not Acknowledged","Critical","","2024-01-31 14:42","","","","",""
"47275","SDR-33-AF","Nouveau Marc","Signal Low","","Not Acknowledged","Critical","","2024-01-31 14:42","","","","",""
"47270","Digi Modem","Yardley Commons (Seaton Voorhees)","Communication Failure. Device is OFFLINE or SNMP may not be enabled.","","Not Acknowledged","Critical","","2024-01-31 13:50","","","","",""
"47268","eFemto 2100","Desoto Beach Club","The 4G LTE Network Extender 2 for Enterprise has lost connectivity with the IPsec Server and is not in service. ","","Not Acknowledged","Major","","2024-01-31 13:46","","","","",""
"47269","eFemto 2100","Desoto Beach Club","The 4G LTE Network Extender 2 for Enterprise is not in service due to poor or inadequate GPS signals.","","Not Acknowledged","Major","","2024-01-31 13:46","","","","",""
"47266","eFemto 700","Yardley Commons (Seaton Voorhees)","Scan Incomplete","Could not collect enough data to finish the scan.","Not Acknowledged","Critical","","2024-01-31 13:40","","","","",""
"47264","eFemto 2100","Yardley Commons (Seaton Voorhees)","Scan Incomplete","Could not collect enough data to finish the scan.","Not Acknowledged","Critical","","2024-01-31 13:40","","","","",""
"47254","eFemto 2100","Nouveau Marc","The 4G LTE Network Extender 2 for Enterprise is not in service due to poor or inadequate GPS signals.","","Not Acknowledged","Major","","2024-01-31 12:59","","","","",""
"47253","eFemto 2100","Nouveau Marc","The 4G LTE Network Extender 2 for Enterprise has lost connectivity with the IPsec Server and is not in service. ","","Not Acknowledged","Major","","2024-01-31 12:59","","","","",""
"47251","SDR-33-AF","Desoto Beach Club","Signal Not Det","","Not Acknowledged","Critical","","2024-01-31 12:48","","","","",""
"47252","SDR-33-AF","Desoto Beach Club","Signal Low","","Not Acknowledged","Critical","","2024-01-31 12:48","","","","",""
"47228","SDR-33-AF","RiverPlace","Signal Not Det","","Not Acknowledged","Critical","","2024-01-31 09:40","","","","",""
"47229","SDR-33-AF","RiverPlace","Signal Low","","Not Acknowledged","Critical","","2024-01-31 09:40","","","","",""
"47224","SDR-33-AF","Yardley Commons (Seaton Voorhees)","Signal Not Det","","Not Acknowledged","Critical","","2024-01-31 08:51","","","","",""
"47225","SDR-33-AF","Yardley Commons (Seaton Voorhees)","Signal Low","","Not Acknowledged","Critical","","2024-01-31 08:51","","","","",""
"47210","eFemto 700","Solstice at Sandy","The RF antennas may not be properly connected or may be faulty.","RU VSWR_FAIL/PATH[1]   10","Not Acknowledged","Major","Ignored","2024-01-31 06:44","","1/6/2023 11:42","Indefinitely","We be look at on next visit","Welker, Daren "
"47082","eFemto 2100","RiverPlace","Power used within the board is unstable or abnormal. ","","Not Acknowledged","Major","","2024-01-30 06:36","","","","",""
"47065","SDR-33-AF","Aspen View (Bad 2100 BDA needs replaced)","System Halt","","Not Acknowledged","Warning","","2024-01-30 04:19","","","","",""
"47066","SDR-33-AF","Aspen View (Bad 2100 BDA needs replaced)","Synthesizer Lock Fail","","Not Acknowledged","Major","","2024-01-30 04:19","","","","",""
"47067","SDR-33-AF","Aspen View (Bad 2100 BDA needs replaced)","Signal Not Det","","Not Acknowledged","Critical","","2024-01-30 04:19","","","","",""
"47068","SDR-33-AF","Aspen View (Bad 2100 BDA needs replaced)","Signal Low","","Not Acknowledged","Critical","","2024-01-30 04:19","","","","",""
"46679","eFemto 2100","Marion Woods","The device could not be reached via HTTP.","","Not Acknowledged","Critical","","2024-01-28 01:20","","","","",""
"46680","eFemto 2100","Marion Woods","Scan Incomplete","","Not Acknowledged","Critical","","2024-01-28 01:20","","","","",""
"46479","eFemto 700","Yardley Commons (Seaton Voorhees)","Service cannot be provided due to abnormal service condition.","SYS SERVICE_OFF   30","Not Acknowledged","Major","","2024-01-26 23:52","","","","",""
"46480","eFemto 700","Yardley Commons (Seaton Voorhees)","GPS signal has been lost for 24 hours.","GPSR FREQUENCY_HOLDOVER_EXCEED   17","Not Acknowledged","Major","","2024-01-26 23:52","","","","",""
"46239","eFemto 700","Yardley Commons (Seaton Voorhees)","No GPS signal can be received.","GPSR LOCKING_FAIL   15","Not Acknowledged","Major","","2024-01-25 23:56","","","","",""
"45797","eFemto 2100","Yardley Commons (Seaton Voorhees)","Service cannot be provided due to abnormal service condition.","SYS SERVICE_OFF   30","Not Acknowledged","Major","","2024-01-24 08:59","","","","",""
"45798","eFemto 2100","Yardley Commons (Seaton Voorhees)","GPS signal has been lost for 24 hours.","GPSR FREQUENCY_HOLDOVER_EXCEED   17","Not Acknowledged","Major","","2024-01-24 08:59","","","","",""
"45499","eFemto 2100","Yardley Commons (Seaton Voorhees)","No GPS signal can be received.","GPSR LOCKING_FAIL   15","Not Acknowledged","Major","","2024-01-23 09:05","","","","",""
"44043","eFemto 2100 S1","Hawaii Kai","The device could not be reached via HTTP.","","Not Acknowledged","Critical","","2024-01-17 15:39","","","","",""
