ID,Device Name,Path,Description,Notes,ACK,Severity,Rules,Incident Time,Ticket,Date Ignored,Ignore Until,Reason,Ignored By
47507,eFemto 2100,All Clients >> Source1Solutions >> BestBuy >> Maple Suites >> Digi Modem >> eFemto 2100,The RF antennas may not be properly connected or may be faulty.,"RU VSWR_FAIL/PATH[1] 
 10",Not Acknowledged,Major,Ignored,2/15/2024 14:25,,1/14/2022 4:55,Indefinitely,Will look at,"Welker, Daren "
47274,SDR-33-AF,All Clients >> Source1Solutions >> BestBuy >> Nouveau Marc >> Digi Modem >> BDA 2100 >> SDR-33-AF,Signal Not Det,,Not Acknowledged,Critical,,1/31/2024 14:42,,,,,
47275,SDR-33-AF,All Clients >> Source1Solutions >> BestBuy >> Nouveau Marc >> Digi Modem >> BDA 2100 >> SDR-33-AF,Signal Low,,Not Acknowledged,Critical,,1/31/2024 14:42,,,,,
47270,Digi Modem,All Clients >> Source1Solutions >> BestBuy >> Yardley Commons (Seaton Voorhees) >> Digi Modem,Communication Failure. Device is OFFLINE or SNMP may not be enabled.,,Not Acknowledged,Critical,,1/31/2024 13:50,,,,,
47268,eFemto 2100,All Clients >> Source1Solutions >> BestBuy >> Desoto Beach Club >> Digi Modem >> eFemto 2100,The 4G LTE Network Extender 2 for Enterprise has lost connectivity with the IPsec Server and is not in service. ,,Not Acknowledged,Major,,1/31/2024 13:46,,,,,
47269,eFemto 2100,All Clients >> Source1Solutions >> BestBuy >> Desoto Beach Club >> Digi Modem >> eFemto 2100,The 4G LTE Network Extender 2 for Enterprise is not in service due to poor or inadequate GPS signals.,,Not Acknowledged,Major,,1/31/2024 13:46,,,,,
47266,eFemto 700,All Clients >> Source1Solutions >> BestBuy >> Yardley Commons (Seaton Voorhees) >> Digi Modem >> eFemto 700,Scan Incomplete,Could not collect enough data to finish the scan.,Not Acknowledged,Critical,,1/31/2024 13:40,,,,,
47264,eFemto 2100,All Clients >> Source1Solutions >> BestBuy >> Yardley Commons (Seaton Voorhees) >> Digi Modem >> eFemto 2100,Scan Incomplete,Could not collect enough data to finish the scan.,Not Acknowledged,Critical,,1/31/2024 13:40,,,,,
47254,eFemto 2100,All Clients >> Source1Solutions >> BestBuy >> Nouveau Marc >> Digi Modem >> eFemto 2100,The 4G LTE Network Extender 2 for Enterprise is not in service due to poor or inadequate GPS signals.,,Not Acknowledged,Major,,1/31/2024 12:59,,,,,
47253,eFemto 2100,All Clients >> Source1Solutions >> BestBuy >> Nouveau Marc >> Digi Modem >> eFemto 2100,The 4G LTE Network Extender 2 for Enterprise has lost connectivity with the IPsec Server and is not in service. ,,Not Acknowledged,Major,,1/31/2024 12:59,,,,,
47251,SDR-33-AF,All Clients >> Source1Solutions >> BestBuy >> Desoto Beach Club >> Digi Modem >> BDA 2100 >> SDR-33-AF,Signal Not Det,,Not Acknowledged,Critical,,1/31/2024 12:48,,,,,
47252,SDR-33-AF,All Clients >> Source1Solutions >> BestBuy >> Desoto Beach Club >> Digi Modem >> BDA 2100 >> SDR-33-AF,Signal Low,,Not Acknowledged,Critical,,1/31/2024 12:48,,,,,
47228,SDR-33-AF,All Clients >> Source1Solutions >> BestBuy >> RiverPlace >> Digi Modem >> BDA 2100 >> SDR-33-AF,Signal Not Det,,Not Acknowledged,Critical,,1/31/2024 9:40,,,,,
47229,SDR-33-AF,All Clients >> Source1Solutions >> BestBuy >> RiverPlace >> Digi Modem >> BDA 2100 >> SDR-33-AF,Signal Low,,Not Acknowledged,Critical,,1/31/2024 9:40,,,,,
47224,SDR-33-AF,All Clients >> Source1Solutions >> BestBuy >> Yardley Commons (Seaton Voorhees) >> Digi Modem >> BDA 2100 >> SDR-33-AF,Signal Not Det,,Not Acknowledged,Critical,,1/31/2024 8:51,,,,,
47225,SDR-33-AF,All Clients >> Source1Solutions >> BestBuy >> Yardley Commons (Seaton Voorhees) >> Digi Modem >> BDA 2100 >> SDR-33-AF,Signal Low,,Not Acknowledged,Critical,,1/31/2024 8:51,,,,,
47210,eFemto 700,All Clients >> Source1Solutions >> BestBuy >> Solstice at Sandy >> Digi Modem >> eFemto 700,The RF antennas may not be properly connected or may be faulty.,"RU VSWR_FAIL/PATH[1] 
 10",Not Acknowledged,Major,Ignored,1/31/2024 6:44,,1/6/2023 11:42,Indefinitely,We be look at on next visit,"Welker, Daren "
47082,eFemto 2100,All Clients >> Source1Solutions >> BestBuy >> RiverPlace >> Digi Modem >> eFemto 2100,Power used within the board is unstable or abnormal. ,,Not Acknowledged,Major,,1/30/2024 6:36,,,,,
47065,SDR-33-AF,All Clients >> Source1Solutions >> BestBuy >> Aspen View (Bad 2100 BDA needs replaced) >> Digi Modem >> 2100 BDA (Bad Needs replaced) >> SDR-33-AF,System Halt,,Not Acknowledged,Warning,,1/30/2024 4:19,,,,,
47066,SDR-33-AF,All Clients >> Source1Solutions >> BestBuy >> Aspen View (Bad 2100 BDA needs replaced) >> Digi Modem >> 2100 BDA (Bad Needs replaced) >> SDR-33-AF,Synthesizer Lock Fail,,Not Acknowledged,Major,,1/30/2024 4:19,,,,,
47067,SDR-33-AF,All Clients >> Source1Solutions >> BestBuy >> Aspen View (Bad 2100 BDA needs replaced) >> Digi Modem >> 2100 BDA (Bad Needs replaced) >> SDR-33-AF,Signal Not Det,,Not Acknowledged,Critical,,1/30/2024 4:19,,,,,
47068,SDR-33-AF,All Clients >> Source1Solutions >> BestBuy >> Aspen View (Bad 2100 BDA needs replaced) >> Digi Modem >> 2100 BDA (Bad Needs replaced) >> SDR-33-AF,Signal Low,,Not Acknowledged,Critical,,1/30/2024 4:19,,,,,
